S/N,Project Name,Street Name,Type,Postal District,Market Segment,Tenure,Type of Sale,No. of Units,Price ($),Nett Price ($),Area (Sqft),Type of Area,Floor Level,Unit Price ($psf),Date of Sale
1,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3060000,-,1711,Strata,06 to 10,1788,1/11/22
2,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3320000,-,1141,Strata,26 to 30,2910,1/11/22
3,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3120000,-,1711,Strata,11 to 15,1823,1/11/22
4,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3410000,-,1141,Strata,31 to 35,2989,1/11/22
5,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2678000,-,818,Strata,36 to 40,3274,1/11/22
6,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4622000,-,1507,Strata,31 to 35,3067,1/11/22
7,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3803000,-,1216,Strata,31 to 35,3127,1/11/22
8,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3743000,-,1249,Strata,31 to 35,2998,1/11/22
9,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,1692000,-,560,Strata,26 to 30,3023,1/11/22
10,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2518000,-,818,Strata,31 to 35,3078,1/11/22
11,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3708000,-,1249,Strata,31 to 35,2970,1/11/22
12,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3773000,-,1216,Strata,26 to 30,3102,1/11/22
13,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1768000,-,700,Strata,11 to 15,2527,1/11/22
14,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2596888,-,1076,Strata,11 to 15,2413,1/11/22
15,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2592000,-,818,Strata,36 to 40,3168,1/11/22
16,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1775040,-,678,Strata,21 to 25,2618,1/11/22
17,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3753000,-,1216,Strata,26 to 30,3086,1/11/22
18,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,3678000,-,1216,Strata,21 to 25,3024,1/11/22
19,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4408000,-,1507,Strata,21 to 25,2925,1/11/22
20,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,4475000,-,1507,Strata,21 to 25,2970,1/11/22
21,PARC CLEMATIS,JALAN LEMPENG,Apartment,5,OCR,99 yrs lease commencing from 2019,New Sale,1,3080000,-,1711,Strata,06 to 10,1800,1/11/22
22,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1745150,-,678,Strata,21 to 25,2573,1/11/22
23,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2548000,-,818,Strata,31 to 35,3115,1/11/22
24,RIVIERE,JIAK KIM STREET,Apartment,3,RCR,99 yrs lease commencing from 2018,New Sale,1,2468000,-,818,Strata,31 to 35,3017,1/11/22
25,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2759888,-,1141,Strata,11 to 15,2419,1/11/22
26,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2888640,-,1141,Strata,16 to 20,2532,1/11/22
27,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,2778888,-,1141,Strata,16 to 20,2436,1/11/22
28,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1354888,-,517,Strata,21 to 25,2622,1/11/22
29,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1839888,-,764,Strata,16 to 20,2407,1/11/22
30,THE LANDMARK,CHIN SWEE ROAD,Condominium,3,RCR,99 yrs lease commencing from 2020,New Sale,1,1334888,-,517,Strata,16 to 20,2584,1/11/22
31,THE REEF AT KING'S DOCK,HARBOURFRONT AVENUE,Condominium,4,RCR,99 yrs lease commencing from 2021,New Sale,1,2948000,-,1216,Strata,01 to 05,2424,1/11/22
32,ONE BERNAM,BERNAM STREET,Apartment,2,CCR,99 yrs lease commencing from 2019,New Sale,1,1398000,-,441,Strata,26 to 30,3168,1/11/22
